 534 DT	the
   1 RB	loudly
   1 RB	little
   1 RB	lavishly
   1 RB	instead
   1 RB	highly
   1 RB	heavily
   1 RB	hardly
   1 RB	handily
   1 RB	greatly
   1 RB	generally
   1 RB	further
   1 RB	freely
   1 RB	formerly
   1 RB	firsthand
   1 RB	first
   1 RB	extremely
   1 RB	eventually
   1 RB	equally
   1 RB	earlier
   1 RB	directly
   1 RB	decidedly
   1 RB	currently
   1 RB	commonly
   1 RB	classically
   1 RB	certainly
   1 RB	because
   1 RB	back
   1 RB	automatically
   1 RB	anyway
   1 RB	annually
   1 RB	always
   1 RB	all
   1 RB	ago
   1 RB	actually
   1 PRP	us
   1 PRP	my
   1 PRP	himself
   1 PRP	herself
   1 PDT	such
   1 PDT	half
   1 NNS	worlds
   1 NNS	words
   1 NNS	weekdays
   1 NNS	ways
   1 NNS	voices
   1 NNS	vibrations
   1 NNS	ventures
   1 NNS	vacancies
   1 NNS	utilities
   1 NNS	upticks
   1 NNS	units
   1 NNS	undertakings
   1 NNS	umbrellas
   1 NNS	trousers
   1 NNS	trees
   1 NNS	trades
   1 NNS	tours
   1 NNS	tons
   1 NNS	ties
   1 NNS	tests
   1 NNS	terms
   1 NNS	tens
   1 NNS	tenants
   1 NNS	technologies
   1 NNS	teams
   1 NNS	taxpayers
   1 NNS	targets
   1 NNS	suggestions
   1 NNS	subsidies
   1 NNS	stockholders
   1 NNS	states
   1 NNS	standees
   1 NNS	stages
   1 NNS	spectators
   1 NNS	soybeans
   1 NNS	solutions
   1 NNS	slides
   1 NNS	skies
   1 NNS	skeletons
   1 NNS	situations
   1 NNS	sides
   1 NNS	shrieks
   1 NNS	shirts
   1 NNS	sheiks
   1 NNS	sheets
   1 NNS	sheepherders
   1 NNS	sellers
   1 NNS	securities
   1 NNS	scrubbers
   1 NNS	scripts
   1 NNS	schemes
   1 NNS	salesmen
   1 NNS	roots
   1 NNS	revenues
   1 NNS	requests
   1 NNS	reports
   1 NNS	regulations
   1 NNS	regions
   1 NNS	records
   1 NNS	reasons
   1 NNS	readings
   1 NNS	ranks
   1 NNS	purists
   1 NNS	proportions
   1 NNS	professors
   1 NNS	professionals
   1 NNS	productions
   1 NNS	proceeds
   1 NNS	presidents
   1 NNS	prescriptions
   1 NNS	pools
   1 NNS	polls
   1 NNS	politicians
   1 NNS	places
   1 NNS	phenomena
   1 NNS	pharmaceuticals
   1 NNS	petrochemicals
   1 NNS	peasants
   1 NNS	parts
   1 NNS	parks
   1 NNS	pages
   1 NNS	others
   1 NNS	operators
   1 NNS	ones
   1 NNS	offices
   1 NNS	officers
   1 NNS	offers
   1 NNS	oddsmakers
   1 NNS	occasions
   1 NNS	notes
   1 NNS	neckerchiefs
   1 NNS	munitions
   1 NNS	minutes
   1 NNS	millions
   1 NNS	melodies
   1 NNS	measures
   1 NNS	means
   1 NNS	matters
   1 NNS	losses
   1 NNS	locations
   1 NNS	lawyers
   1 NNS	landlords
   1 NNS	keys
   1 NNS	issues
   1 NNS	insiders
   1 NNS	indicators
   1 NNS	inconveniences
   1 NNS	implications
   1 NNS	ideas
   1 NNS	hours
   1 NNS	heads
   1 NNS	hazards
   1 NNS	hats
   1 NNS	harmonics
   1 NNS	gestures
   1 NNS	gauchos
   1 NNS	gamblers
   1 NNS	futures
   1 NNS	fuels
   1 NNS	framers
   1 NNS	forays
   1 NNS	floors
   1 NNS	flights
   1 NNS	finalists
   1 NNS	figures
   1 NNS	festivals
   1 NNS	females
   1 NNS	fees
   1 NNS	facts
   1 NNS	experts
   1 NNS	expenses
   1 NNS	executives
   1 NNS	eras
   1 NNS	environs
   1 NNS	emissions
   1 NNS	efforts
   1 NNS	effects
   1 NNS	dramatists
   1 NNS	downticks
   1 NNS	divestitures
   1 NNS	distillations
   1 NNS	discussions
   1 NNS	difficulties
   1 NNS	detractors
   1 NNS	decades
   1 NNS	deaths
   1 NNS	dams
   1 NNS	cuts
   1 NNS	currencies
   1 NNS	critiques
   1 NNS	critics
   1 NNS	criminals
   1 NNS	creditors
   1 NNS	crabbers
   1 NNS	cowboys
   1 NNS	courts
   1 NNS	costs
   1 NNS	contributions
   1 NNS	consumers
   1 NNS	conflicts
   1 NNS	conditions
   1 NNS	concerts
   1 NNS	concerns
   1 NNS	conceptions
   1 NNS	compounds
   1 NNS	compositions
   1 NNS	companies
   1 NNS	community.
   1 NNS	communications
   1 NNS	committees
   1 NNS	commissions
   1 NNS	closets
   1 NNS	claims
   1 NNS	circles
   1 NNS	choreographers
   1 NNS	children
   1 NNS	charges
   1 NNS	chairs
   1 NNS	catcalls
   1 NNS	calls
   1 NNS	calculations
   1 NNS	buttons
   1 NNS	bottles
   1 NNS	bookmakers
   1 NNS	bonds
   1 NNS	bodies
   1 NNS	blossoms
   1 NNS	blocks
   1 NNS	bleachers
   1 NNS	billions
   1 NNS	beverages
   1 NNS	bettors
   1 NNS	bats
   1 NNS	automobiles
   1 NNS	assets
   1 NNS	appropriations
   1 NNS	appeals
   1 NNS	ambassadors
   1 NNS	allies
   1 NNS	allegations
   1 NNS	airlines
   1 NNS	agreements
   1 NNS	activities
   1 NNS	activists
   1 NNS	accountants
   1 NNS	1960s
   1 NNS	1930s
   1 NNS	'70s
   1 NNPS	workers
   1 NNPS	states
   1 NNPS	soviets
   1 NNPS	services
   1 NNPS	resources
   1 NNPS	greetings
   1 NNPS	democrats
   1 NNPS	consultants
   1 NNPS	brothers
   1 NNPS	argentines
   1 NNP	yosemite
   1 NNP	wyoming
   1 NNP	wsj
   1 NNP	winston-salem
   1 NNP	wingate
   1 NNP	white
   1 NNP	westbeth
   1 NNP	weekly
   1 NNP	wave
   1 NNP	wars
   1 NNP	waleson
   1 NNP	walesa
   1 NNP	w.
   1 NNP	vickers
   1 NNP	valley
   1 NNP	v.
   1 NNP	urban
   1 NNP	treasury
   1 NNP	thursday
   1 NNP	thom
   1 NNP	texas
   1 NNP	teasley
   1 NNP	sunday
   1 NNP	summerstage
   1 NNP	sudbury
   1 NNP	strategic
   1 NNP	star
   1 NNP	space
   1 NNP	solidarity
   1 NNP	social
   1 NNP	smoky
   1 NNP	singer
   1 NNP	sheridan
   1 NNP	sept.
   1 NNP	see
   1 NNP	security
   1 NNP	secretary
   1 NNP	scott
   1 NNP	saying.
   1 NNP	santa
   1 NNP	san
   1 NNP	salomon
   1 NNP	sallie
   1 NNP	safety
   1 NNP	rumbolz
   1 NNP	roxy
   1 NNP	ross
   1 NNP	roman
   1 NNP	robert
   1 NNP	river
   1 NNP	reserve
   1 NNP	report
   1 NNP	railroad
   1 NNP	quintet
   1 NNP	pulitzer
   1 NNP	protection
   1 NNP	project
   1 NNP	program
   1 NNP	product
   1 NNP	prime
   1 NNP	precipitation
   1 NNP	polish
   1 NNP	poconos
   1 NNP	plessix
   1 NNP	petro-canada
   1 NNP	patricia
   1 NNP	paris
   1 NNP	pacific
   1 NNP	opera
   1 NNP	omaha
   1 NNP	oklahoma
   1 NNP	oddsmaker
   1 NNP	nuclear
   1 NNP	november
   1 NNP	northeast
   1 NNP	nevada
   1 NNP	nebraska
   1 NNP	napap
   1 NNP	nadia
   1 NNP	n.j.
   1 NNP	music
   1 NNP	mulroney
   1 NNP	mozart
   1 NNP	morgan
   1 NNP	montgomery
   1 NNP	mobile
   1 NNP	minister
   1 NNP	miles
   1 NNP	mikhail
   1 NNP	midwest
   1 NNP	miami
   1 NNP	mcdougall
   1 NNP	mayor
   1 NNP	may
   1 NNP	matthew
   1 NNP	massachusetts
   1 NNP	marsha
   1 NNP	mamet
   1 NNP	maine
   1 NNP	maday
   1 NNP	machiavellian
   1 NNP	machiavelli
   1 NNP	louisville
   1 NNP	los
   1 NNP	london
   1 NNP	little
   1 NNP	lester
   1 NNP	lem
   1 NNP	lech
   1 NNP	league
   1 NNP	laszlo
   1 NNP	langley
   1 NNP	lakes
   1 NNP	lake
   1 NNP	laguardia
   1 NNP	la.
   1 NNP	l.
   1 NNP	kronos
   1 NNP	kenneth
   1 NNP	kansas
   1 NNP	julia
   1 NNP	jr.
   1 NNP	jones
   1 NNP	johnston
   1 NNP	jimmy
   1 NNP	janney
   1 NNP	j.p.
   1 NNP	j.l.
   1 NNP	iowa
   1 NNP	investor
   1 NNP	interior
   1 NNP	integrated
   1 NNP	insider
   1 NNP	initiative
   1 NNP	illinois
   1 NNP	howard
   1 NNP	housing
   1 NNP	hong
   1 NNP	hilton
   1 NNP	hetchery
   1 NNP	hetch
   1 NNP	henley
   1 NNP	harvey
   1 NNP	harry
   1 NNP	gulf
   1 NNP	guild
   1 NNP	group
   1 NNP	gretchen
   1 NNP	greetings
   1 NNP	great
   1 NNP	grant
   1 NNP	gorbachev
   1 NNP	glengarry
   1 NNP	glen
   1 NNP	gene
   1 NNP	frank
   1 NNP	francisco
   1 NNP	francine
   1 NNP	fond
   1 NNP	florida
   1 NNP	fitzgerald
   1 NNP	festival
   1 NNP	feinstein
   1 NNP	federal
   1 NNP	february
   1 NNP	feb.
   1 NNP	fe
   1 NNP	european
   1 NNP	europe
   1 NNP	environmental
   1 NNP	england
   1 NNP	energy
   1 NNP	elliott
   1 NNP	eldorado
   1 NNP	eisen
   1 NNP	edwin
   1 NNP	edt
   1 NNP	earth
   1 NNP	du
   1 NNP	dramatist
   1 NNP	dow
   1 NNP	district
   1 NNP	dianne
   1 NNP	dennis
   1 NNP	defense
   1 NNP	deconcini
   1 NNP	davis
   1 NNP	david
   1 NNP	danny
   1 NNP	dallas
   1 NNP	d.c.
   1 NNP	court
   1 NNP	control
   1 NNP	consumer
   1 NNP	constitution
   1 NNP	commercial
   1 NNP	church
   1 NNP	chesapeake
   1 NNP	charlotte
   1 NNP	chamber
   1 NNP	catholic
   1 NNP	casino
   1 NNP	carter
   1 NNP	carlos
   1 NNP	canadian
   1 NNP	california
   1 NNP	caesar
   1 NNP	butcher
   1 NNP	buffalo
   1 NNP	buenos
   1 NNP	brookside
   1 NNP	brian
   1 NNP	brahms
   1 NNP	boulanger
   1 NNP	book
   1 NNP	birinyi
   1 NNP	bingham
   1 NNP	beth
   1 NNP	bennett
   1 NNP	bay
   1 NNP	bartokian
   1 NNP	barbara
   1 NNP	baltimore
   1 NNP	b.
   1 NNP	aviation
   1 NNP	average
   1 NNP	august
   1 NNP	aug.
   1 NNP	assurance
   1 NNP	assessment
   1 NNP	asher
   1 NNP	armed
   1 NNP	ariz.
   1 NNP	arab
   1 NNP	april
   1 NNP	angeles
   1 NNP	amoroso
   1 NNP	allston
   1 NNP	ala.
   1 NNP	aires
   1 NNP	air
   1 NNP	agency
   1 NNP	aeronautics
   1 NNP	administration
   1 NNP	adirondack
   1 NNP	act
   1 NNP	acidity
   1 NN	yen
   1 NN	word
   1 NN	winner
   1 NN	wheat
   1 NN	weekend
   1 NN	watershed
   1 NN	walkout
   1 NN	wage
   1 NN	voting
   1 NN	visitor
   1 NN	visit
   1 NN	virtuoso
   1 NN	violinist
   1 NN	vengeance
   1 NN	variance
   1 NN	use
   1 NN	usair
   1 NN	uptick
   1 NN	underwriting
   1 NN	underwriter
   1 NN	underpinning
   1 NN	tyrant
   1 NN	turn
   1 NN	trend
   1 NN	treatment
   1 NN	travel
   1 NN	transaction
   1 NN	trade
   1 NN	tour
   1 NN	top
   1 NN	today
   1 NN	tip
   1 NN	tie
   1 NN	threat
   1 NN	thinking
   1 NN	theorist
   1 NN	territory
   1 NN	term
   1 NN	technology
   1 NN	tailspin
   1 NN	survey
   1 NN	surface
   1 NN	support
   1 NN	sun
   1 NN	sulfur
   1 NN	suitor
   1 NN	suit
   1 NN	success
   1 NN	style
   1 NN	studio
   1 NN	stroke
   1 NN	streak
   1 NN	strategy
   1 NN	strategist
   1 NN	story
   1 NN	step
   1 NN	start
   1 NN	standing
   1 NN	standard
   1 NN	stage
   1 NN	sports-book
   1 NN	sport
   1 NN	space
   1 NN	source
   1 NN	solution
   1 NN	snakelike
   1 NN	smog
   1 NN	slaughtering
   1 NN	singer
   1 NN	shift
   1 NN	shareholder
   1 NN	setting
   1 NN	session
   1 NN	service
   1 NN	series
   1 NN	security
   1 NN	savings
   1 NN	rush
   1 NN	runoff
   1 NN	role
   1 NN	road
   1 NN	rise
   1 NN	review
   1 NN	retrenchment
   1 NN	retirement
   1 NN	response
   1 NN	reservoir
   1 NN	resentment
   1 NN	request
   1 NN	repetition
   1 NN	reorganization
   1 NN	removal
   1 NN	release
   1 NN	rejection
   1 NN	reign
   1 NN	regulation
   1 NN	region
   1 NN	rebound
   1 NN	reaction
   1 NN	range
   1 NN	question
   1 NN	quartet
   1 NN	quality
   1 NN	purity
   1 NN	publishing
   1 NN	proxy
   1 NN	prospectus
   1 NN	prosecutor
   1 NN	progress
   1 NN	product
   1 NN	processor
   1 NN	processing
   1 NN	process
   1 NN	pro
   1 NN	prison
   1 NN	principle
   1 NN	pretax
   1 NN	prestige
   1 NN	pressure
   1 NN	press
   1 NN	presence
   1 NN	preference
   1 NN	prairie
   1 NN	practice
   1 NN	post
   1 NN	position
   1 NN	portion
   1 NN	portfolio
   1 NN	pork
   1 NN	popularity
   1 NN	pollution-control
   1 NN	pollution
   1 NN	policy
   1 NN	poetry
   1 NN	playwright
   1 NN	playing
   1 NN	place
   1 NN	phrase
   1 NN	pessimism
   1 NN	person
   1 NN	performer
   1 NN	peep
   1 NN	payment
   1 NN	patience
   1 NN	past
   1 NN	party
   1 NN	participation
   1 NN	parlor
   1 NN	park
   1 NN	pariah
   1 NN	panic
   1 NN	pace
   1 NN	ox
   1 NN	owner
   1 NN	overripe
   1 NN	outside
   1 NN	outcome
   1 NN	ornament
   1 NN	orange
   1 NN	opera
   1 NN	one
   1 NN	odor
   1 NN	novelist
   1 NN	notion
   1 NN	note
   1 NN	norm
   1 NN	nominee
   1 NN	nickname
   1 NN	newsletter
   1 NN	network
   1 NN	natural-resource
   1 NN	mystery
   1 NN	musician
   1 NN	move
   1 NN	money
   1 NN	momentum
   1 NN	mistake
   1 NN	mission
   1 NN	minister
   1 NN	mind
   1 NN	mile
   1 NN	midst
   1 NN	merger
   1 NN	melody
   1 NN	master
   1 NN	manufacturing
   1 NN	maneuver
   1 NN	majority
   1 NN	lotion
   1 NN	losing
   1 NN	liquidation
   1 NN	liming
   1 NN	limestone
   1 NN	lifeguard
   1 NN	lesson
   1 NN	legislation
   1 NN	language
   1 NN	knee
   1 NN	kind
   1 NN	judiciary
   1 NN	job
   1 NN	jeering
   1 NN	jail
   1 NN	issue
   1 NN	investigation
   1 NN	intrigue
   1 NN	interim
   1 NN	interagency
   1 NN	instance
   1 NN	initiative
   1 NN	infighting
   1 NN	inclination
   1 NN	incinerator
   1 NN	inauguration
   1 NN	importance
   1 NN	image
   1 NN	illustration
   1 NN	idea
   1 NN	howl
   1 NN	housecleaning
   1 NN	house
   1 NN	hotel-casino
   1 NN	hostile
   1 NN	honor
   1 NN	holder
   1 NN	hog
   1 NN	highway
   1 NN	heir
   1 NN	health
   1 NN	headline
   1 NN	haze
   1 NN	hat
   1 NN	harm
   1 NN	halfway
   1 NN	growth
   1 NN	good
   1 NN	gambling
   1 NN	gambler
   1 NN	front
   1 NN	fortune
   1 NN	forest
   1 NN	force
   1 NN	foot
   1 NN	following
   1 NN	floor
   1 NN	flavor
   1 NN	fishing
   1 NN	finance
   1 NN	fight
   1 NN	fellow
   1 NN	father
   1 NN	family
   1 NN	exposure
   1 NN	exploiter
   1 NN	exodus
   1 NN	executive
   1 NN	exchange
   1 NN	examination
   1 NN	evidence
   1 NN	everything
   1 NN	everybody
   1 NN	event
   1 NN	equity
   1 NN	equipment
   1 NN	epithet
   1 NN	environmentalism
   1 NN	environment
   1 NN	entry
   1 NN	entity
   1 NN	engineering
   1 NN	energy
   1 NN	endowment
   1 NN	embellishment
   1 NN	electricity
   1 NN	edition
   1 NN	economy
   1 NN	ecology
   1 NN	drop
   1 NN	driving
   1 NN	dozen
   1 NN	dog
   1 NN	disparity
   1 NN	disdain
   1 NN	digestion
   1 NN	destruction
   1 NN	deputy
   1 NN	deposition
   1 NN	depletion
   1 NN	demand
   1 NN	defense
   1 NN	defendant
   1 NN	decade
   1 NN	death
   1 NN	date
   1 NN	dancing
   1 NN	dance
   1 NN	cube
   1 NN	crowd
   1 NN	crime
   1 NN	couple
   1 NN	cost
   1 NN	corruption
   1 NN	correlation
   1 NN	corn
   1 NN	controller
   1 NN	contender
   1 NN	consultant
   1 NN	consent
   1 NN	connection
   1 NN	condition
   1 NN	concrete
   1 NN	composer
   1 NN	competition
   1 NN	comment
   1 NN	claim
   1 NN	child
   1 NN	charge
   1 NN	character
   1 NN	chance
   1 NN	chamber
   1 NN	chagrin
   1 NN	certainty
   1 NN	career
   1 NN	car
   1 NN	candidate
   1 NN	calmat
   1 NN	cabinet
   1 NN	bushel
   1 NN	bridge
   1 NN	box
   1 NN	bordello
   1 NN	bond
   1 NN	black-and-silver
   1 NN	bit
   1 NN	bid
   1 NN	bettor
   1 NN	bet
   1 NN	beginning
   1 NN	bed
   1 NN	beauty
   1 NN	beat
   1 NN	basis
   1 NN	baseball
   1 NN	bargaining
   1 NN	bandshell
   1 NN	awarding
   1 NN	automobile
   1 NN	authorization
   1 NN	author
   1 NN	attorney
   1 NN	attic
   1 NN	attention
   1 NN	attack
   1 NN	asset
   1 NN	assertion
   1 NN	assassin
   1 NN	area
   1 NN	approach
   1 NN	application
   1 NN	appeal
   1 NN	anyone
   1 NN	antipathy
   1 NN	anti-male
   1 NN	announcement
   1 NN	anniversary
   1 NN	anathema
   1 NN	amplification
   1 NN	amount
   1 NN	amendment
   1 NN	aleatory
   1 NN	airline
   1 NN	aircraft
   1 NN	agribusiness
   1 NN	agreement
   1 NN	agent
   1 NN	adviser
   1 NN	advice
   1 NN	actress
   1 NN	activity
   1 NN	action
   1 NN	act
   1 NN	acidity
   1 NN	acidification
   1 NN	accordion
   1 NN	12-tone
   1 NN	1/100th
   1 JJS	lowest
   1 JJS	least
   1 JJS	latest
   1 JJS	largest
   1 JJS	greatest
   1 JJS	broadest
   1 JJR	wider
   1 JJR	smaller
   1 JJR	higher
   1 JJR	happier
   1 JJR	freer
   1 JJR	earlier
   1 JJR	closer
   1 JJR	broader
   1 JJ	young
   1 JJ	yearlong
   1 JJ	year-ago
   1 JJ	written
   1 JJ	worth
   1 JJ	wild
   1 JJ	wide-hatted
   1 JJ	wide-brim
   1 JJ	whole
   1 JJ	well-respected
   1 JJ	volatile
   1 JJ	various
   1 JJ	usual
   1 JJ	useful
   1 JJ	usair-piedmont
   1 JJ	uranium
   1 JJ	uptick-to-downtick
   1 JJ	upset
   1 JJ	unusual
   1 JJ	untimely
   1 JJ	unsecured
   1 JJ	unprofitable
   1 JJ	unlikely
   1 JJ	universal
   1 JJ	underground
   1 JJ	undaunted
   1 JJ	unaudited
   1 JJ	unashamedly
   1 JJ	truthful
   1 JJ	transitional
   1 JJ	trained
   1 JJ	traditional
   1 JJ	total
   1 JJ	toronto-based
   1 JJ	top-bet
   1 JJ	throwaway
   1 JJ	thorough
   1 JJ	third-quarter
   1 JJ	temporary
   1 JJ	technical
   1 JJ	tapered
   1 JJ	sunscreen
   1 JJ	sulfur-dioxide
   1 JJ	sudden
   1 JJ	subtle
   1 JJ	substantial
   1 JJ	subject
   1 JJ	steady
   1 JJ	stable
   1 JJ	soviet
   1 JJ	sound
   1 JJ	sophisticated
   1 JJ	somber
   1 JJ	solo
   1 JJ	solid
   1 JJ	so-called
   1 JJ	smoky
   1 JJ	simple
   1 JJ	short
   1 JJ	severe
   1 JJ	serious
   1 JJ	sensitive
   1 JJ	senior
   1 JJ	self-indulgent
   1 JJ	secret
   1 JJ	scratchy
   1 JJ	scientific
   1 JJ	scheduled
   1 JJ	same
   1 JJ	salvageable
   1 JJ	rich
   1 JJ	rhythmic
   1 JJ	retired
   1 JJ	respectful
   1 JJ	repelled
   1 JJ	remaining
   1 JJ	relentless
   1 JJ	related
   1 JJ	regular
   1 JJ	reactionary
   1 JJ	quarterly
   1 JJ	prudent
   1 JJ	provincial
   1 JJ	proposed
   1 JJ	professional
   1 JJ	pro-female
   1 JJ	pristine
   1 JJ	pretax
   1 JJ	presidential
   1 JJ	potential
   1 JJ	possible
   1 JJ	positive
   1 JJ	popular
   1 JJ	pop-sounding
   1 JJ	policy-making
   1 JJ	planned
   1 JJ	pivotal
   1 JJ	physical
   1 JJ	pessimistic
   1 JJ	per-share
   1 JJ	payable
   1 JJ	particular
   1 JJ	parochial
   1 JJ	overwhelming
   1 JJ	outside
   1 JJ	ornamented
   1 JJ	organlike
   1 JJ	organic
   1 JJ	only
   1 JJ	one-time
   1 JJ	on-line
   1 JJ	ominous
   1 JJ	nuclear
   1 JJ	noticeable
   1 JJ	notable
   1 JJ	normal
   1 JJ	nitrogen-oxide
   1 JJ	neoclassical
   1 JJ	neighboring
   1 JJ	neb.-based
   1 JJ	n.c.-based
   1 JJ	musical
   1 JJ	music-theater
   1 JJ	multibillion-dollar
   1 JJ	mournful
   1 JJ	mother-daughter
   1 JJ	modest
   1 JJ	modern
   1 JJ	militant
   1 JJ	mexican
   1 JJ	mere
   1 JJ	melodic
   1 JJ	medical
   1 JJ	mass.-based
   1 JJ	magical
   1 JJ	lyrical
   1 JJ	loud
   1 JJ	long-term
   1 JJ	limited
   1 JJ	likely
   1 JJ	liberating
   1 JJ	legislative
   1 JJ	lead
   1 JJ	kong-based
   1 JJ	key
   1 JJ	judicial
   1 JJ	intimidating
   1 JJ	interim
   1 JJ	intact
   1 JJ	insurmountable
   1 JJ	insufficient
   1 JJ	instrumental
   1 JJ	institutional
   1 JJ	insignificant
   1 JJ	initial
   1 JJ	industry-supported
   1 JJ	immediate
   1 JJ	hydrologic
   1 JJ	human
   1 JJ	house-passed
   1 JJ	historic
   1 JJ	hiring-discrimination
   1 JJ	higher-than-expected
   1 JJ	high-temperature
   1 JJ	heavy
   1 JJ	hard
   1 JJ	grubby
   1 JJ	grim
   1 JJ	graceful
   1 JJ	government-funded
   1 JJ	geologic
   1 JJ	general
   1 JJ	future
   1 JJ	furtive
   1 JJ	further-processed
   1 JJ	full
   1 JJ	frustrating
   1 JJ	frustrated
   1 JJ	frontal
   1 JJ	free-lance
   1 JJ	four-volume
   1 JJ	formal
   1 JJ	foreign
   1 JJ	flow-of-funds
   1 JJ	five-session
   1 JJ	five-day
   1 JJ	finger-busting
   1 JJ	fertile
   1 JJ	fantastic
   1 JJ	false
   1 JJ	fair
   1 JJ	exuberant
   1 JJ	extreme
   1 JJ	extensive
   1 JJ	expensive
   1 JJ	exciting
   1 JJ	european
   1 JJ	equal
   1 JJ	environmental
   1 JJ	enough
   1 JJ	english-speaking
   1 JJ	electromagnetic
   1 JJ	early
   1 JJ	dreadful
   1 JJ	double
   1 JJ	domestic
   1 JJ	disastrous
   1 JJ	die-hard
   1 JJ	detectable
   1 JJ	deficit-reduction
   1 JJ	d.c.-based
   1 JJ	curious
   1 JJ	criminal
   1 JJ	cosmopolitan
   1 JJ	controversial
   1 JJ	contemporary
   1 JJ	conservative
   1 JJ	consecutive
   1 JJ	congressional
   1 JJ	confused
   1 JJ	confrontational
   1 JJ	complicated
   1 JJ	complex
   1 JJ	compelling
   1 JJ	comparable
   1 JJ	commercial
   1 JJ	collegial
   1 JJ	climactic
   1 JJ	city-based
   1 JJ	chicago-based
   1 JJ	chamber-music
   1 JJ	cement-making
   1 JJ	broad
   1 JJ	bottom
   1 JJ	bold
   1 JJ	blue
   1 JJ	black
   1 JJ	bipartisan
   1 JJ	big
   1 JJ	baroque
   1 JJ	bad
   1 JJ	autumnal
   1 JJ	australian
   1 JJ	attractive
   1 JJ	atmospheric
   1 JJ	ariz.-based
   1 JJ	apparent
   1 JJ	allowable
   1 JJ	aggressive
   1 JJ	additional
   1 JJ	acoustic
   1 JJ	above
   1 JJ	able
   1 JJ	66-year-old
   1 JJ	50-50
   1 JJ	300-foot-high
   1 JJ	2nd
   1 JJ	27-member
   1 JJ	19th-century
   1 JJ	10th
   1 JJ	10-stop
   1 JJ	10-day
   1 IN	within
   1 IN	unless
   1 IN	throughout
   1 IN	so
   1 IN	outside
   1 IN	behind
   1 IN	ago
   1 DT	every
   1 CD	vegetation
   1 CD	six
   1 CD	seven
   1 CD	four
   1 CD	eight
   1 CD	99,000
   1 CD	960,000
   1 CD	94
   1 CD	925
   1 CD	90
   1 CD	82
   1 CD	8.50
   1 CD	76.1
   1 CD	75
   1 CD	700,000
   1 CD	70
   1 CD	7,486,344
   1 CD	69.89
   1 CD	67
   1 CD	65
   1 CD	63.4
   1 CD	62.50
   1 CD	61
   1 CD	6.7
   1 CD	6.46
   1 CD	6,900
   1 CD	59
   1 CD	57.6
   1 CD	53
   1 CD	520
   1 CD	500
   1 CD	5.9
   1 CD	5.5
   1 CD	49
   1 CD	46,850
   1 CD	45.125
   1 CD	43
   1 CD	4.6
   1 CD	4.25
   1 CD	4,000
   1 CD	38
   1 CD	37
   1 CD	36
   1 CD	35
   1 CD	348-68
   1 CD	334
   1 CD	33
   1 CD	31.875
   1 CD	31
   1 CD	300,000
   1 CD	3.6
   1 CD	3.1
   1 CD	283.2
   1 CD	28.6
   1 CD	28
   1 CD	2750
   1 CD	27
   1 CD	2568.05
   1 CD	24.5
   1 CD	23.5
   1 CD	22
   1 CD	209.5
   1 CD	200
   1 CD	20.4
   1 CD	20,000
   1 CD	20
   1 CD	2.63
   1 CD	2.5
   1 CD	2.3
   1 CD	1988
   1 CD	1982
   1 CD	1978
   1 CD	1977
   1 CD	1975
   1 CD	1971
   1 CD	1962
   1 CD	1935
   1 CD	1933
   1 CD	173.4
   1 CD	17
   1 CD	162,000
   1 CD	15.3
   1 CD	13.375
   1 CD	13
   1 CD	120
   1 CD	11
   1 CD	100.1
   1 CD	100
   1 CD	10.17
   1 CD	10.1
   1 CD	10,000
   1 CD	1/2
   1 CD	1.97
   1 CD	1.45
   1 CD	1.35
   1 CD	1.1
   1 CD	1,000
   1 CC	nor
   1 AUX	've
   1 AUX	'm
